Canonical_SMILES,Device_tier,Train/Valid/Test,CN,predicted,glob_vector,total_atoms,atom_shap_total,atomwise_shap
C1CC=CCCC=C1,1,Train,25.7,25.178371,1.279825 6.559031 -3.800939 -1.587972 1.457567 1.102951 -7.737289 -0.797147 4.907832 -0.281542 1.783020 2.523892 1.742492 -0.789661 -0.998577 4.545602 3.953207 2.225704 3.540745 -2.035959 4.700537 1.232826 1.068425 3.378500 -0.684471 -1.896925 0.167621 0.447936 2.031123 -5.800000 0.950146 -0.090596 -1.785034 -4.399931 -2.938550 1.215554 2.069108 1.055358 0.968775 -3.819658 3.622932 2.884200 -3.134998 1.349213 3.543916 -0.218807 1.502960 -4.106093 -0.122321 -7.364676 1.659524 3.079373 -4.387490 -3.765551 2.364029 -2.180651 -0.378832 -3.489011 4.770103 -1.580289 -0.074553 -1.365404 3.296787 1.178566,8,25.178370999999995,"[3.16983944 3.16983944 3.12475331 3.12475331 3.16983944 3.16983944
 3.12475331 3.12475331]"
COc1ccccc1,1,Train,6.2,5.952137,0.297395 2.443781 -1.300710 -0.222946 0.281806 0.028521 -1.886849 -0.742670 0.909577 0.233878 0.926707 1.175695 0.670615 0.539421 -0.357818 0.627366 0.840331 0.596802 0.568065 -0.641132 1.673889 0.203587 -0.320687 0.370849 -0.211157 -0.431984 0.281585 0.491914 0.270997 -1.160128 -0.169903 0.251045 -0.565192 -0.471666 -0.599033 0.425126 0.189743 0.193721 0.910603 -0.975627 0.761781 0.574760 -0.924661 -0.063779 1.300507 0.203434 0.293218 -0.542330 0.099812 -1.511725 0.254901 0.441060 -1.021123 -0.074458 0.797408 -0.851085 0.267399 -1.006251 0.985855 -0.580570 -0.469955 -0.497349 0.651244 -0.114562,8,5.952136999999999,"[0.91082018 1.03948585 0.93229682 0.64080399 0.59063846 0.60664924
 0.59063846 0.64080399]"
CCCCC(C)CC,1,Train,45.0,46.368923,2.267500 11.448519 -7.420034 -3.916420 2.462377 1.307734 -14.295670 -2.360494 8.239945 -0.654786 2.346530 4.208600 2.899661 -2.050057 -0.949273 8.340297 6.742040 3.879423 5.678307 -3.869162 8.995958 1.970267 2.047588 5.070564 -1.195545 -3.945484 0.450650 1.596487 3.983338 -10.502853 1.721332 -0.537981 -4.171083 -7.068293 -3.547868 1.860979 3.871462 2.510457 0.988839 -7.649443 6.560532 4.629041 -4.906802 1.998644 6.165099 -0.664217 3.738750 -7.340886 -0.127263 -13.206520 2.878559 5.261244 -8.559745 -7.087959 4.611898 -3.790071 -1.428553 -5.933901 9.225699 -4.016788 -0.812547 -2.795074 6.463279 1.955851,8,46.368923,"[ 4.86711941 13.37843729 -0.48278472 10.47966321 -3.61459274  6.22688131
 10.5133348   5.00086443]"
CCCCCC(C)C,1,Train,52.6,53.74387,2.649966 13.292315 -8.495021 -4.692094 2.940480 1.573181 -16.522194 -2.857714 9.348952 -0.721058 2.714131 4.855403 3.231007 -2.360268 -0.834408 9.725612 7.884446 4.757248 6.532718 -4.486898 10.433043 2.310883 2.288368 5.845016 -1.300084 -4.603319 0.573396 1.823308 4.526691 -12.080752 2.056456 -0.800801 -4.944818 -7.956689 -4.039693 2.078038 4.496670 2.714384 0.929812 -8.819501 7.641446 5.404948 -5.299267 2.256850 7.221399 -0.810663 4.351068 -8.361931 -0.209570 -15.261564 3.334005 6.319673 -9.962854 -8.041446 5.353358 -4.510180 -1.513976 -6.908700 10.686090 -4.774548 -0.821756 -3.145143 7.677387 2.384218,8,53.743870000000015,"[ 2.78945249  5.36244854  7.05991844  7.79192023  8.21960096 14.68740035
  3.9165645   3.9165645 ]"
CC1=CC(=CC=C1)C,1,Train,7.0,7.101751,0.114691 2.321426 -1.313794 -0.092019 0.266234 0.107537 -2.308825 -0.286422 1.060870 0.398304 0.746829 1.427685 0.590099 -0.051878 -0.436742 1.030787 1.169188 0.526149 1.100124 -0.554009 1.654647 0.146140 -0.494731 0.705720 -0.071986 -0.657433 -0.059841 0.363623 0.125992 -1.253788 -0.063669 0.382125 -0.831452 -1.003299 -0.666376 0.516181 0.455620 0.380094 0.731054 -1.458794 0.975739 1.073694 -1.124321 -0.198415 1.296676 0.010943 0.216373 -0.861059 -0.138777 -1.880026 0.449731 0.674497 -1.321820 -0.598569 0.749866 -0.751828 0.200029 -1.063879 1.325119 -0.478630 -0.516498 -0.502478 0.862897 0.462982,8,7.101751000000001,"[0.35123    1.47234274 0.3305583  1.47234265 0.8217135  1.48062032
 0.82171364 0.35122985]"
CCC1OCC(O1)C,1,Train,17.54,17.512514,0.677938 4.540863 -2.942502 -1.003773 0.419087 0.137794 -5.809620 -0.116417 2.848614 0.395215 1.079842 2.824135 1.642699 -0.256089 -0.027739 2.327998 2.666321 1.904206 1.946453 -1.291303 4.022982 1.304849 0.425676 2.233591 -0.435288 -1.625682 0.521860 1.161875 1.370287 -3.583299 0.845730 0.251520 -1.832119 -2.325379 -0.820254 0.531403 1.185750 1.213101 0.789306 -2.876329 2.473687 2.187838 -1.867715 0.057142 2.828007 -0.143629 1.541628 -1.621188 -0.473420 -4.405618 1.546102 1.847997 -3.108592 -2.267153 1.412838 -0.953257 -0.639044 -2.474769 3.641140 -1.954143 -0.479818 -1.442718 2.240283 0.855648,8,17.512513999999996,"[ 13.90595265  14.02412966 -13.97817061  10.51724766 -12.09697248
   4.60628803  -1.43202944   1.96606852]"
CCCCCCCO,1,Train,29.0,29.362267,1.457262 7.008607 -4.627555 -2.955950 1.461994 0.015845 -8.353413 -2.057355 4.938416 0.074519 0.940099 2.787313 1.916282 -1.527704 -0.181743 4.541961 3.821320 2.858584 3.290704 -2.338305 5.915409 0.950614 1.155572 2.173437 -0.751015 -3.006849 0.022764 0.823355 2.872972 -6.302030 1.673549 -0.659678 -3.248859 -3.464360 -1.458925 0.620340 1.961553 1.652505 0.539256 -5.047765 3.990227 2.216809 -2.091223 1.344363 3.729595 -0.351041 2.791236 -4.714435 -0.417274 -7.799232 1.692980 4.024958 -5.214892 -4.252335 3.401093 -2.325205 -0.503055 -3.694586 5.692549 -3.213870 -0.361035 -1.737849 4.233679 1.885211,8,29.362267000000003,"[ 1.42533563  6.53128691  8.48991051  9.36671318  7.45133395  1.29067822
 -4.63132379 -0.5616676 ]"
CCCCCCOC,1,Train,99.8,104.78195,6.060756 26.571287 -15.758735 -9.037963 5.942173 3.085116 -31.730450 -5.546000 18.288324 -0.770507 5.303661 9.173409 7.154294 -4.218318 -1.877018 17.931768 15.121561 10.100034 12.901327 -8.540203 20.445623 4.999347 5.026002 11.211779 -3.287083 -9.019066 1.920274 2.059590 8.637148 -24.316513 4.905463 -2.030876 -10.245926 -14.258206 -8.685809 3.510950 7.856999 4.777124 2.037964 -16.043192 15.418884 9.552574 -8.608800 5.158638 13.697699 -1.283444 8.955782 -16.524923 -1.218148 -29.067654 6.902570 14.304802 -19.420364 -14.847707 10.660410 -8.385336 -2.386300 -14.702196 19.937414 -9.926895 -0.697641 -5.610423 15.075430 5.292483,8,104.78195,"[ 7.72552711 13.16185017 15.95773115 16.60887136 16.71932577 15.37446595
 12.40654034  6.82763815]"
CCCCCCCC,1,Train,64.0,60.63458,3.299115 15.119797 -9.229031 -5.353788 3.334326 1.522598 -18.206703 -3.265399 10.374545 -0.548454 2.798961 5.181705 3.578678 -2.559023 -0.904262 10.319358 8.843320 5.750682 7.701085 -5.257084 11.767066 2.563891 3.108475 6.250740 -1.809134 -5.489435 0.867474 1.355836 4.798850 -14.017836 2.840512 -1.296003 -5.732838 -8.243315 -5.093094 1.628045 4.836953 3.103469 0.959178 -9.486788 8.785619 5.672209 -5.068118 2.688940 7.756791 -0.702104 5.191630 -9.706850 -0.571450 -17.128880 3.574733 7.967552 -11.262407 -8.853223 6.129390 -5.179516 -1.315784 -8.116774 11.658401 -5.957610 -0.470680 -3.347500 8.581000 2.969833,8,60.63458,"[ 3.46651349  6.82400031  9.18821566 10.83856054 10.83856054  9.18821566
  6.82400031  3.46651349]"
CCCC/C=C\CC,1,Train,38.1,37.385414,1.958001 9.447554 -5.917258 -3.102431 1.952201 1.067190 -11.118345 -1.858330 7.001749 -0.281961 2.000771 3.232838 2.403370 -1.595252 -0.724284 6.702900 5.522172 3.357401 4.652827 -3.006769 7.104279 1.678731 1.829547 4.306099 -1.188729 -3.269725 0.159225 0.700164 3.150712 -8.287270 1.798390 -0.287104 -3.432857 -5.765673 -3.181657 1.260665 3.136531 1.829517 1.020708 -6.328196 5.465263 3.675403 -3.730493 1.783947 4.940073 -0.553642 2.658973 -5.977182 -0.137277 -10.777038 2.245541 4.643298 -6.785409 -5.517401 3.846340 -2.964884 -0.652533 -4.991753 7.239290 -3.139950 -0.464002 -2.101763 5.186124 1.543488,8,37.385414,"[2.55346603 5.19542164 6.89862617 6.22875316 5.66603379 4.97828947
 3.65063237 2.21419138]"
CCc1ccccc1,1,Train,6.295,6.235164,0.081129 1.621514 -1.424087 -0.374330 0.182128 0.071606 -1.833461 -0.147261 0.858717 0.216995 0.569906 0.933556 0.392087 -0.090050 -0.178203 0.910989 0.840974 0.408639 0.998083 -0.471032 1.417321 0.231986 -0.097097 0.588279 -0.062586 -0.620105 -0.099745 0.296817 0.139961 -1.024811 0.000473 0.243653 -0.833403 -0.564352 -0.431649 0.317970 0.151905 0.461347 0.464003 -1.347548 0.888679 1.046251 -0.894099 -0.203622 1.015932 0.027420 0.213550 -0.782093 -0.105314 -1.638121 0.635850 0.720939 -1.059045 -0.581682 0.363352 -0.599805 0.006212 -0.878449 1.287687 -0.519666 -0.505649 -0.615159 0.722280 0.368116,8,6.235163999999999,"[0.78354449 0.63948703 0.88905313 0.59440466 0.91979866 0.89467271
 0.91979866 0.59440466]"
C1CCCC(=O)CC1,1,Train,22.5,21.9917,1.130158 6.055829 -3.303484 -1.544728 1.243536 0.831232 -6.919930 -0.330238 4.101211 -0.164521 1.617151 2.366053 1.876412 -0.566199 -0.660355 3.990498 3.242625 2.287192 3.225345 -1.721033 4.340150 1.392034 0.980064 2.923398 -0.440746 -1.512306 0.377017 0.620344 1.952245 -5.111224 0.912805 -0.071922 -1.744469 -3.453687 -2.217474 1.046948 1.989750 1.008620 0.637522 -3.114339 3.279463 2.327382 -2.456486 1.055672 3.142907 -0.122936 1.672565 -3.123889 -0.281046 -6.372839 1.436722 2.591379 -3.956931 -3.015059 2.176600 -1.645437 -0.448918 -3.240735 4.152842 -1.616778 -0.178988 -1.276842 2.982250 0.909091,8,21.9917,"[3.09097368 3.09097368 2.91481629 2.67540888 3.25756893 1.37173337
 2.67540888 2.91481629]"
CCCC/C=C/CC,1,Train,34.0,37.385414,1.958001 9.447554 -5.917258 -3.102431 1.952201 1.067190 -11.118345 -1.858330 7.001749 -0.281961 2.000771 3.232838 2.403370 -1.595252 -0.724284 6.702900 5.522172 3.357401 4.652827 -3.006769 7.104279 1.678731 1.829547 4.306099 -1.188729 -3.269725 0.159225 0.700164 3.150712 -8.287270 1.798390 -0.287104 -3.432857 -5.765673 -3.181657 1.260665 3.136531 1.829517 1.020708 -6.328196 5.465263 3.675403 -3.730493 1.783947 4.940073 -0.553642 2.658973 -5.977182 -0.137277 -10.777038 2.245541 4.643298 -6.785409 -5.517401 3.846340 -2.964884 -0.652533 -4.991753 7.239290 -3.139950 -0.464002 -2.101763 5.186124 1.543488,8,37.385414,"[2.55346603 5.19542164 6.89862617 6.22875316 5.66603379 4.97828947
 3.65063237 2.21419138]"
CCC(C)CC(C)C,1,Train,38.36,39.813713,2.070934 9.930577 -6.409820 -3.510331 2.159198 1.069302 -12.215856 -2.093157 7.329999 -0.764811 1.956545 3.741364 2.157313 -1.626637 -1.236289 7.674506 5.919194 3.367809 4.977859 -3.530630 7.600479 1.749663 1.502774 4.391058 -0.938050 -3.188295 0.285115 1.763785 3.480169 -9.156903 1.240989 -0.454846 -3.442859 -6.404345 -2.851683 1.699211 3.492060 2.051325 0.696427 -6.410728 5.407966 4.152193 -4.547053 1.768598 5.320873 -0.582267 3.044993 -6.270178 -0.254876 -11.649879 2.330327 4.256984 -7.283918 -6.247610 4.088268 -3.389883 -1.320194 -5.106466 8.090209 -3.369575 -1.001864 -2.465631 5.608116 1.754829,8,39.813713,"[2.12590308 4.4400463  8.89142055 3.10871317 6.17598343 9.20638412
 2.93263118 2.93263118]"
CC1CCCCC1C,1,Train,24.0,23.41811,1.220181 6.291672 -3.620788 -1.794201 1.406292 0.927620 -7.178098 -0.716762 4.454412 -0.303310 1.545260 2.271941 1.531858 -0.676008 -0.874663 4.345907 3.643673 2.210629 3.220219 -2.007726 4.451844 1.214896 0.897825 2.969565 -0.721504 -1.695579 0.116243 0.420229 1.836966 -5.415767 0.888842 -0.107620 -1.947266 -3.813525 -2.490345 1.205654 2.024192 0.888010 0.861560 -3.582320 3.360248 2.533759 -2.875775 1.231472 3.208351 -0.122523 1.479873 -3.772984 -0.222167 -6.877913 1.497495 2.781584 -4.022346 -3.301017 2.388292 -1.949824 -0.183875 -3.333097 4.415747 -1.561929 -0.123036 -1.224713 3.160599 1.012417,8,23.41811,"[1.48169387 4.19800712 2.96142969 3.06792472 3.06792435 2.96142967
 4.19800708 1.48169351]"
