,Canonical SMILES,X,Y
0,CCCCCCCCC=CCCCCCCCC(=O)OC,-44.60085,57.182854
1,CCCCC/C=C\C/C=C\CCCCCCCC(=O)O,54.420433,-40.15177
2,CCCCC1CCCC2CCCCC12,49.535065,-49.398247
3,C=CC(C)=CCC=C(C)C,46.742683,-57.032288
4,CCCCCCCC(=O)OCC,33.71293,36.588165
5,CCCCCCCC(CCC)CCCCCCC,-2.3852792,65.34143
6,Cc1ccccc1,-5.38225,15.010351
7,OC1CCCC1,-11.613901,-3.2861736
8,CCCCCCCC/C=C\CCCCCCCCCCCC(=O)OC,-56.904243,-12.88229
9,C1=CCCC=CCC1,23.540293,-55.33575
10,CCCCCCCC=C(CCCCCC)CCCCCC,-0.12117069,64.11728
11,CCCCCCCCCCCCc1ccccc1,-59.245438,13.9287815
12,CCC(CC)CC,58.880924,8.606497
13,CCCCCCCCCCCCCC(=O)OC,-57.944347,-9.2642565
14,CCCCCCC(C)CCC(C)C,-44.0486,27.592398
15,CCCCC(=O)OC.CCCCC(=O)OC,18.167131,2.6671765
16,COCCOCCOC,-35.390728,34.469944
17,CCCCCCCCC,-51.52612,32.450733
18,CCOCCOCCO,-33.421364,36.184406
19,COC(C)COC(C)COC(C)CO,-71.44887,-27.31164
20,CCCCC(C)(CCCC)c1ccc2ccccc2c1,2.3054495,-0.06391152
21,COc1cc(C)ccc1O,-3.928602,-53.64424
22,CCCCCCCCCCCCCCCCCC(=O)OCCCC,-57.904274,-35.019344
23,C1=CCCCC1,-0.28116724,-22.119179
24,CCC(C)O,-17.172722,1.6450208
25,CCCCC(CCCC)C(CCCC)CCCC,45.610622,-38.82522
26,CCCCCCCCOC(C)C(=O)OC,-41.532967,39.94649
27,CCCCCCCCCCCCCCc1ccccc1,-60.71582,5.336962
28,CCCC(C)C,58.505745,10.78359
29,C1CCOC1,12.47877,-47.52291
30,COc1ccccc1,-5.7699113,11.13908
31,CCCCCCCCCCCCCCCC,-37.034893,-47.61
32,CCCCCCCCCc1ccccc1,-4.014809,58.705135
33,CCCCCCOC(=O)CCC.CCCCCCOC(=O)CCC,33.57335,-7.4014683
34,CC(C)CO,-17.068932,1.3514102
35,CCOCOCC,-53.28388,20.619257
36,CC(=O)OC1CC(C)CCC1C(C)C,19.751612,-4.807145
37,CCCCCCCCCC(=O)O,8.057114,61.047115
38,CCCCCCc1ccccc1,53.63317,-43.171963
39,CC(C)C1CC(C(C)C)CC(C(C)C)C1,34.83213,-49.101635
40,CCCCCCC(CCCCCC)c1ccccc1,42.60147,52.755527
41,C=CC(C)(O)CC/C=C(\C)CCC=C(C)C,4.598398,-42.839573
42,CCCCCCCCO,51.47946,11.402884
43,CCCCC(C)CC,9.187529,56.466328
44,CCCCCCCCCCCCCCCC(=O)OC.CCCCCCCCCCCCCCCC(=O)OC,-59.586376,-35.08279
45,c1ccccc1,-6.384838,-22.074432
46,CC1CC(C)CC(C)C1,50.773914,-53.62403
47,CCCCCCCCCC(CCCC)(CCCC)c1ccccc1,-43.44597,26.075129
48,CCCCCCOCC(CC)CC,-38.51522,-48.446907
49,CCCCCCCCCCCCCCCC(CCCC)c1ccccc1,50.360653,37.18772
50,CC(C)=CCCC(C)=CCO,3.3403363,-42.937412
51,CC1CCC(C)C(C)C1,20.768862,-53.442215
52,CC1CC(=O)CC(C)(C)C1,-3.0114057,-4.852545
53,CCC(C)(O)CCCC(C)C,44.985233,-49.8603
54,COCOCOCOC,-48.881893,12.611878
55,CC(C)CC(=O)CC(C)C,-1.5205663,-6.6280303
56,CCCCC12CC3CC(CC(C3)C1)C2,-17.500816,69.807274
57,CCCCCCCCOCCCCCCCC,-29.63289,-62.631634
58,O=C1CCCC1,-7.3272686,3.66438
59,CC/C=C\C/C=C\C/C=C\CCCCCCCC(=O)O,15.190348,-35.255123
60,CCCCCCCCCCCCCCO,-62.89664,7.43702
61,CCCCCCCC(C)O,41.824398,35.294857
62,COC1CCCC1,-31.41898,37.917995
63,CCOC(=O)C(C)OCC,31.09564,-15.331081
64,CCCCCC(C)C,-12.854746,54.92168
65,CCC(=O)CC,-8.4613905,0.973394
66,C1=CCOC1,-5.184822,-21.296389
67,COCCO,-8.52666,-18.741293
68,CCCCC1CCCCC(=O)O1,72.90413,20.582243
69,CCCC1CCCCC1,14.672117,55.488293
70,CCCCCCCC/C=C\CCCCCCCC(=O)OCC,-39.866905,56.955364
71,COC(=O)C(C)OCC1CC1,16.047264,6.576492
72,CCCCC(CC)C1OC(C)C(C)O1,-53.22921,14.401772
73,Cc1cccc(C)c1,-8.102381,12.492331
74,CCCCCCC(C)C(C)CCCCCC,44.917057,37.345684
75,CC(C)=CCC/C(C)=C/CO,3.4205093,-42.55819
76,CCCCc1ccco1,1.4321902,-1.3390903
77,CCC1OCC(C)O1,19.57777,-5.072685
78,OCCc1ccccc1,-21.224936,-0.037065335
79,CCCCCCCO,41.784386,-36.263657
80,CCCCCCCCCO,24.752415,43.637608
81,CCCCCCC(=O)CC,40.879223,36.02971
82,C1CCOCC1,73.038,19.113964
