Canonical_SMILES,Device_tier,Train/Valid/Test,CN,predicted,glob_vector
CCCCCCCCC=CCCCCCCCC(=O)OC,1,Train,56,57.968243,2.691358 14.592575 -9.436014 -5.058424 3.002761 1.167722 -17.163486 -3.248280 9.922823 -0.469542 1.961548 5.057829 3.749195 -2.377074 -0.288437 9.478317 8.186251 5.756239 6.945184 -4.541536 11.329275 2.887137 3.275326 5.530007 -1.534857 -5.475703 0.827033 1.198178 5.216007 -13.012983 3.317055 -0.991174 -5.524821 -7.575518 -3.895350 0.995475 4.060225 3.271959 0.886154 -9.259462 8.282337 5.036114 -4.196734 2.395293 7.157421 -1.249778 5.539948 -8.940840 -1.036941 -16.202425 3.179763 8.007756 -11.026217 -8.278214 6.780242 -4.250313 -1.232453 -8.018792 11.310804 -6.039044 -0.139117 -3.212352 8.512230 3.241958
CCCCC/C=C\C/C=C\CCCCCCCC(=O)O,1,Train,31.4,32.391766,1.516829 8.199537 -5.012876 -3.377008 1.524693 0.207681 -9.551418 -2.071650 5.967775 -0.060851 1.256293 2.941746 1.787193 -1.624899 -0.197226 5.714560 4.526667 2.964189 3.984359 -2.675998 6.243791 1.245821 1.342024 2.726662 -0.740705 -3.173256 0.171418 0.956234 3.061860 -7.039320 1.784338 -0.598523 -3.145378 -4.378904 -2.228525 0.862263 2.909672 2.010145 0.335781 -5.697386 4.351446 2.780198 -2.601268 1.222882 4.241384 -0.696735 2.801569 -5.060986 -0.115405 -8.948557 1.603938 3.884346 -5.773985 -4.837384 3.478476 -2.776118 -0.628843 -3.939040 6.511547 -3.200298 -0.286722 -1.965407 4.372423 1.731524
CCCCC1CCCC2CCCCC12,1,Train,30.815,29.558361,1.745941 7.646197 -4.469603 -2.352664 1.533207 0.803797 -9.034924 -1.526267 5.514431 -0.290103 1.487792 2.787021 1.807634 -1.233836 -0.912038 5.275848 4.432535 2.829625 3.952337 -2.570835 5.693228 1.280670 1.573516 3.319983 -0.798140 -2.442479 0.272933 0.635669 2.659297 -6.978082 1.378761 -0.478791 -2.448434 -4.491099 -2.804565 0.828351 2.685772 1.564500 0.691761 -4.531629 4.131507 2.864441 -2.934033 1.493638 3.866132 -0.500258 2.270846 -4.904273 -0.291290 -8.695171 1.474127 3.534453 -5.439752 -4.485010 2.978626 -2.342507 -0.723244 -4.042530 5.800412 -2.439647 -0.166859 -1.678038 3.816387 1.326429
CC(=CCC=C(C)C=C)C,1,Train,28,28.981424,1.265745 7.677176 -4.606571 -2.230392 1.572281 1.129442 -8.892111 -0.786986 5.350284 -0.345760 2.126900 2.980103 1.617040 -0.746756 -0.626298 5.154930 4.343980 2.453681 3.734922 -2.282400 5.354167 1.459978 0.788956 3.927738 -1.008768 -2.248005 -0.031467 0.282946 2.084029 -6.390131 1.121060 -0.150258 -2.419326 -4.814535 -3.081239 1.605774 2.097106 1.048496 1.161320 -4.786872 4.373793 3.314541 -3.340794 1.280540 4.250839 -0.179183 1.719126 -4.642412 0.026828 -8.530497 2.208245 3.494624 -4.922222 -3.939283 2.655805 -2.555455 0.024505 -4.226583 5.345266 -1.682025 -0.198639 -1.430190 4.257253 1.223828
CCCCCCCC(=O)OCC,1,Train,42.06,41.965744,1.682150 10.854990 -6.497653 -3.748828 2.386119 0.618437 -13.031633 -2.235239 7.254559 -0.474981 1.812191 4.033139 2.796992 -1.738740 0.052466 6.735334 5.894728 4.141423 5.270318 -3.423997 8.148796 2.958168 2.000028 4.050552 -0.601779 -3.559077 0.755237 1.483210 4.132828 -9.308864 1.936248 -1.202357 -3.128441 -5.262290 -3.071921 1.323646 3.317003 2.440481 0.415094 -6.771759 5.974720 3.997526 -2.798562 1.380153 5.578758 -0.957226 3.892059 -5.718432 -0.515481 -11.638289 2.073076 5.497969 -8.201148 -5.761061 4.579466 -3.358412 -0.870883 -5.598640 8.203424 -4.394797 -0.022763 -2.270012 5.879034 2.685364
CCCCCCCC(CCC)CCCCCCC,1,Train,48.065,49.717567,2.742013 12.048064 -7.807241 -4.067500 2.476422 1.214305 -14.705869 -3.223492 8.420235 -0.191242 2.018928 4.524583 3.275943 -2.408300 -0.884481 8.057230 7.010761 5.050677 5.873617 -4.102418 9.642654 1.379108 2.593372 4.605837 -1.504450 -4.631418 0.236796 0.910562 4.185726 -11.486700 2.589106 -0.790029 -5.197454 -6.881943 -3.853015 0.891836 3.528008 2.855182 1.071111 -8.102612 6.933509 4.289247 -4.356800 2.330156 6.164345 -0.837760 4.344380 -8.261345 -0.801855 -14.007634 2.892151 6.462042 -9.238498 -7.068766 5.384490 -3.928815 -1.219744 -6.980216 9.551787 -5.034305 -0.285141 -2.872261 7.095422 2.559781
CC1=CC=CC=C1,1,Train,6,5.773741,0.155299 1.702630 -1.464075 0.012921 0.160289 0.079307 -1.860803 -0.147882 0.791388 0.464799 0.586393 1.175019 0.368475 0.033525 -0.313967 0.661132 0.847476 0.602091 0.989126 -0.592451 1.342057 -0.021448 -0.311204 0.499639 -0.084451 -0.558623 -0.076945 0.270429 -0.016897 -0.822677 -0.087430 0.528651 -0.905784 -0.519786 -0.561365 0.434359 0.150255 0.459764 0.524980 -1.333606 0.657631 1.030440 -0.873519 -0.385101 1.074571 -0.114108 -0.028327 -0.684916 -0.020924 -1.512847 0.495830 0.655485 -0.978177 -0.357217 0.362936 -0.654691 0.089346 -0.987082 1.220363 -0.404691 -0.626714 -0.576296 0.790058 0.313489
C1CCC(C1)O,1,Train,9.8,9.730194,0.659465 3.245759 -0.723478 -0.656591 0.605413 -0.048661 -3.411116 -0.203010 1.882776 -0.049406 0.994067 1.672463 0.840973 -0.515473 -0.481097 1.843594 1.358243 0.721512 1.686331 -0.858397 1.715050 0.415311 -0.090978 0.735932 0.176640 -0.912519 0.311580 0.377007 0.887112 -2.190647 0.389161 -0.346385 -0.582503 -1.345352 -1.314325 0.662614 1.142663 0.472011 0.539825 -1.063649 1.779520 1.148330 -1.261044 0.547947 1.718980 -0.098442 0.826021 -1.214538 -0.227066 -3.021543 0.197594 0.981160 -1.494013 -1.105259 0.968205 -0.910811 0.209907 -1.384737 1.444439 -0.491313 -0.065499 -0.551572 1.453700 0.403531
CCCCCCCC/C=C\CCCCCCCCCCCC(=O)OC,1,Train,74.2,78.66805,4.049426 20.174385 -12.647355 -6.399098 4.066292 2.082546 -23.822182 -3.693018 13.600305 -0.344130 3.733062 7.093744 6.326277 -3.115151 -0.990658 13.291405 11.089573 7.792764 9.832927 -5.848667 15.284170 3.664905 4.146772 8.294773 -2.366068 -6.966252 1.255735 1.460513 6.770720 -17.901237 4.193195 -1.081542 -7.790803 -10.800236 -6.157811 2.168487 5.219686 4.197349 2.056433 -12.298616 11.581018 7.022746 -6.826505 4.167102 10.172967 -1.614802 6.948431 -12.336864 -1.259785 -21.862936 5.134783 10.470140 -14.764830 -10.962090 8.809794 -5.352517 -1.697982 -11.343122 14.940240 -7.267237 -0.048703 -4.346162 11.535282 3.714721
C1CC=CCCC=C1,1,Train,25.7,25.178371,1.279825 6.559031 -3.800939 -1.587972 1.457567 1.102951 -7.737289 -0.797147 4.907832 -0.281542 1.783020 2.523892 1.742492 -0.789661 -0.998577 4.545602 3.953207 2.225704 3.540745 -2.035959 4.700537 1.232826 1.068425 3.378500 -0.684471 -1.896925 0.167621 0.447936 2.031123 -5.800000 0.950146 -0.090596 -1.785034 -4.399931 -2.938550 1.215554 2.069108 1.055358 0.968775 -3.819658 3.622932 2.884200 -3.134998 1.349213 3.543916 -0.218807 1.502960 -4.106093 -0.122321 -7.364676 1.659524 3.079373 -4.387490 -3.765551 2.364029 -2.180651 -0.378832 -3.489011 4.770103 -1.580289 -0.074553 -1.365404 3.296787 1.178566
